GeoID,County,Area,Number_of_Cases,Total_Population,White,Black_AfricanAmerican,AIAN,Asian,NativeHawaian_PacificIslander,Other,Two_or_More_Races,percent_White,percent_Black_AfricanAmerican,percent_AIAN,percent_Asian,percent_NativeHawaian_PacificIslander,percent_Other,percent_Two_or_More_Races
35001000107,Bernalillo,East Gateway,5,2442,2202,76,126,3,0,35,0,90.17,3.11,5.16,0.12,0,1.43,0
35001000108,Bernalillo,Comanche Juan Tabo,20,3216,2141,69,373,0,0,498,135,66.57,2.15,11.6,0,0,15.49,4.2
35001000109,Bernalillo,Comanche Juan Tabo,5,2386,1999,69,189,14,0,74,41,83.78,2.89,7.92,0.59,0,3.1,1.72
35001000110,Bernalillo,Comanche Juan Tabo,29,4003,2988,26,135,10,25,601,218,74.64,0.65,3.37,0.25,0.62,15.01,5.45
35001000111,Bernalillo,Comanche Juan Tabo,17,2966,2254,142,14,142,0,273,141,75.99,4.79,0.47,4.79,0,9.2,4.75
35001000112,Bernalillo,East Gateway,10,1992,1722,45,14,20,0,31,160,86.45,2.26,0.7,1,0,1.56,8.03
35001000113,Bernalillo,Comanche Juan Tabo,7,3660,2716,141,216,28,12,393,154,74.21,3.85,5.9,0.77,0.33,10.74,4.21
35001000114,Bernalillo,Comanche Juan Tabo,11,3020,2121,143,41,55,0,518,142,70.23,4.74,1.36,1.82,0,17.15,4.7
35001000115,Bernalillo,Indian School Juan Tabo,17,3406,2257,173,429,64,0,374,109,66.27,5.08,12.6,1.88,0,10.98,3.2
35001000116,Bernalillo,Indian School Juan Tabo,10,2881,2548,30,117,26,0,117,43,88.44,1.04,4.06,0.9,0,4.06,1.49
35001000117,Bernalillo,Montgomery Moon,15,2547,1789,14,83,38,0,526,97,70.24,0.55,3.26,1.49,0,20.65,3.81
35001000118,Bernalillo,Montgomery Louisiana,16,2313,1782,76,136,33,0,273,13,77.04,3.29,5.88,1.43,0,11.8,0.56
35001000119,Bernalillo,Montgomery Louisiana,1,1887,1595,91,14,22,0,102,63,84.53,4.82,0.74,1.17,0,5.41,3.34
35001000120,Bernalillo,Montgomery Moon,18,2991,2147,68,196,113,0,386,81,71.78,2.27,6.55,3.78,0,12.91,2.71
35001000121,Bernalillo,Indian School Pennsylvania,53,5489,4064,498,241,172,0,133,381,74.04,9.07,4.39,3.13,0,2.42,6.94
35001000122,Bernalillo,Indian School Pennsylvania,14,4535,3933,55,23,199,0,250,75,86.73,1.21,0.51,4.39,0,5.51,1.65
35001000123,Bernalillo,Indian School Pennsylvania,28,4403,3455,324,234,38,0,269,83,78.47,7.36,5.31,0.86,0,6.11,1.89
35001000124,Bernalillo,Indian School Pennsylvania,51,3956,2728,229,322,7,123,475,72,68.96,5.79,8.14,0.18,3.11,12.01,1.82
35001000125,Bernalillo,East Gateway,8,3841,3230,53,54,273,0,170,61,84.09,1.38,1.41,7.11,0,4.43,1.59
35001000126,Bernalillo,Indian School Juan Tabo,12,2531,2061,40,160,32,0,164,74,81.43,1.58,6.32,1.26,0,6.48,2.92
35001000127,Bernalillo,Indian School Juan Tabo,14,2871,1908,1,279,13,0,513,157,66.46,0.03,9.72,0.45,0,17.87,5.47
35001000128,Bernalillo,Indian School Juan Tabo,16,3432,2206,214,335,164,0,377,136,64.28,6.24,9.76,4.78,0,10.98,3.96
35001000129,Bernalillo,Indian School Juan Tabo,21,4067,2812,203,251,262,0,317,222,69.14,4.99,6.17,6.44,0,7.79,5.46
35001000203,Bernalillo,Montgomery Louisiana,11,1791,1279,39,137,22,0,218,96,71.41,2.18,7.65,1.23,0,12.17,5.36
35001000204,Bernalillo,Comanche Carlysle,21,3013,2071,83,58,68,0,494,239,68.74,2.75,1.92,2.26,0,16.4,7.93
35001000205,Bernalillo,Comanche Carlysle,25,3355,2606,61,281,51,0,244,112,77.68,1.82,8.38,1.52,0,7.27,3.34
35001000206,Bernalillo,Montgomery Louisiana,17,2850,2340,112,51,35,0,158,154,82.11,3.93,1.79,1.23,0,5.54,5.4
35001000207,Bernalillo,Indian School Pennsylvania,25,2791,2144,76,48,67,0,386,70,76.82,2.72,1.72,2.4,0,13.83,2.51
35001000208,Bernalillo,Comanche Carlysle,9,3013,1836,11,248,21,0,738,159,60.94,0.37,8.23,0.7,0,24.49,5.28
35001000300,Bernalillo,Lomas Girard,39,5882,5046,89,194,174,57,66,256,85.79,1.51,3.3,2.96,0.97,1.12,4.35
35001000401,Bernalillo,Lomas San Mateo,22,4285,3297,0,187,389,0,177,235,76.94,0,4.36,9.08,0,4.13,5.48
35001000402,Bernalillo,Lomas San Mateo,14,3565,3089,35,3,140,0,58,240,86.65,0.98,0.08,3.93,0,1.63,6.73
35001000501,Bernalillo,Lomas San Mateo,31,3080,2125,92,406,33,0,296,128,68.99,2.99,13.18,1.07,0,9.61,4.16
35001000502,Bernalillo,Lomas San Mateo,23,4747,3797,115,210,144,0,216,265,79.99,2.42,4.42,3.03,0,4.55,5.58
35001000601,Bernalillo,Indian School Pennsylvania,27,4009,2931,79,109,158,0,672,60,73.11,1.97,2.72,3.94,0,16.76,1.5
35001000603,Bernalillo,Central Penn,68,4638,2802,321,465,65,0,882,103,60.41,6.92,10.03,1.4,0,19.02,2.22
35001000604,Bernalillo,,102,3885,1999,107,282,70,0,1297,130,51.45,2.75,7.26,1.8,0,33.38,3.35
35001000704,Bernalillo,Central Tabo,24,3362,2596,69,158,64,0,306,169,77.22,2.05,4.7,1.9,0,9.1,5.03
35001000707,Bernalillo,Central Tabo,71,6374,4780,218,120,0,0,851,405,74.99,3.42,1.88,0,0,13.35,6.35
35001000708,Bernalillo,Central Tabo,76,6327,4231,414,293,111,0,942,336,66.87,6.54,4.63,1.75,0,14.89,5.31
35001000710,Bernalillo,East Gateway,22,7403,5772,248,359,487,0,247,290,77.97,3.35,4.85,6.58,0,3.34,3.92
35001000711,Bernalillo,East Gateway,10,4793,4135,99,241,85,0,28,205,86.27,2.07,5.03,1.77,0,0.58,4.28
35001000712,Bernalillo,Central Tabo,21,4187,3190,129,355,54,12,295,152,76.19,3.08,8.48,1.29,0.29,7.05,3.63
35001000713,Bernalillo,Central Tabo,55,5649,3724,262,701,84,0,437,441,65.92,4.64,12.41,1.49,0,7.74,7.81
35001000714,Bernalillo,Central Tabo,39,5002,2631,130,749,883,0,279,330,52.6,2.6,14.97,17.65,0,5.58,6.6
35001000801,Military Bases,,23,4015,3246,346,8,85,0,50,280,80.85,8.62,0.2,2.12,0,1.25,6.97
35001000901,Bernalillo,Central Penn,87,7198,4564,318,873,68,0,961,414,63.41,4.42,12.13,0.94,0,13.35,5.75
35001000903,Bernalillo,Central Penn,41,5540,3435,439,898,61,0,400,307,62,7.92,16.21,1.1,0,7.22,5.54
35001000904,Bernalillo,Central Penn,17,4287,2772,121,170,132,13,959,120,64.66,2.82,3.97,3.08,0.3,22.37,2.8
35001001101,Bernalillo,Lomas San Mateo,21,4571,3436,73,89,143,12,420,398,75.17,1.6,1.95,3.13,0.26,9.19,8.71
35001001102,Bernalillo,Gibson University,11,3024,2637,160,109,11,0,86,21,87.2,5.29,3.6,0.36,0,2.84,0.69
35001001200,Bernalillo,Gibson University,82,6909,4629,703,282,423,0,616,256,67,10.18,4.08,6.12,0,8.92,3.71
35001001300,Bernalillo,Rio Bravo Second,60,4068,2189,95,253,0,0,1131,400,53.81,2.34,6.22,0,0,27.8,9.83
35001001400,Bernalillo,Lomas Broadway,25,2790,1622,130,44,0,0,692,302,58.14,4.66,1.58,0,0,24.8,10.82
35001001500,Bernalillo,Lomas Broadway,20,2124,1694,46,13,72,0,40,259,79.76,2.17,0.61,3.39,0,1.88,12.19
35001001600,Bernalillo,Gibson University,14,2447,1457,30,343,144,10,316,147,59.54,1.23,14.02,5.88,0.41,12.91,6.01
35001001700,Bernalillo,Lomas Girard,20,4494,3890,43,68,80,0,195,218,86.56,0.96,1.51,1.78,0,4.34,4.85
35001001800,Bernalillo,Lomas Girard,8,2070,1158,62,150,197,0,392,111,55.94,3,7.25,9.52,0,18.94,5.36
35001001900,Bernalillo,Lomas Girard,8,982,828,34,42,33,0,19,26,84.32,3.46,4.28,3.36,0,1.93,2.65
35001002000,Bernalillo,Lomas Broadway,13,2272,1404,32,177,120,0,258,281,61.8,1.41,7.79,5.28,0,11.36,12.37
35001002100,Bernalillo,Lomas Broadway,20,1468,843,106,143,8,0,299,69,57.43,7.22,9.74,0.54,0,20.37,4.7
35001002200,Bernalillo,Lomas Broadway,17,3068,2150,107,180,53,0,145,433,70.08,3.49,5.87,1.73,0,4.73,14.11
35001002300,Bernalillo,Central Coors,88,9017,6788,78,54,13,0,1910,174,75.28,0.87,0.6,0.14,0,21.18,1.93
35001002401,Bernalillo,Central Coors,41,5270,3489,153,91,7,0,1239,291,66.2,2.9,1.73,0.13,0,23.51,5.52
35001002402,Bernalillo,Central Coors,91,7739,4301,286,403,0,0,2232,517,55.58,3.7,5.21,0,0,28.84,6.68
35001002500,Bernalillo,Lomas Broadway,18,3020,2582,66,0,13,0,62,297,85.5,2.19,0,0.43,0,2.05,9.83
35001002600,Bernalillo,Lomas Broadway,3,1047,821,7,69,0,0,96,54,78.41,0.67,6.59,0,0,9.17,5.16
35001002700,Bernalillo,Lomas Broadway,19,4160,3225,56,194,25,0,387,273,77.52,1.35,4.66,0.6,0,9.3,6.56
35001002900,Bernalillo,Candelaria Second,28,4380,3428,33,268,33,0,449,169,78.26,0.75,6.12,0.75,0,10.25,3.86
35001003001,Bernalillo,Candelaria Second,16,5008,3709,30,187,0,0,823,259,74.06,0.6,3.73,0,0,16.43,5.17
35001003002,Bernalillo,Montano Rio Grande,8,4391,3456,70,83,22,0,653,107,78.71,1.59,1.89,0.5,0,14.87,2.44
35001003100,Bernalillo,Montano Rio Grande,9,2699,2523,22,47,13,0,67,27,93.48,0.82,1.74,0.48,0,2.48,1
35001003201,Bernalillo,Candelaria Second,21,2603,1977,41,31,41,0,454,59,75.95,1.58,1.19,1.58,0,17.44,2.27
35001003202,Bernalillo,Candelaria Second,25,5043,3393,0,213,12,0,1113,312,67.28,0,4.22,0.24,0,22.07,6.19
35001003400,Bernalillo,Comanche Carlysle,106,4343,2538,261,486,6,0,851,201,58.44,6.01,11.19,0.14,0,19.59,4.63
35001003501,Bernalillo,Alameda Edith,44,6153,4948,57,11,0,0,1021,116,80.42,0.93,0.18,0,0,16.59,1.89
35001003502,Bernalillo,Montano Rio Grande,32,5195,4238,2,17,13,0,641,284,81.58,0.04,0.33,0.25,0,12.34,5.47
35001003600,Bernalillo,Alameda Edith,54,6839,5212,0,262,204,0,1161,0,76.21,0,3.83,2.98,0,16.98,0
35001003707,Bernalillo,Montgomery Louisiana,38,4416,3494,0,126,0,0,514,282,79.12,0,2.85,0,0,11.64,6.39
35001003712,Bernalillo,Paseo Ventura,48,5254,4061,62,22,331,0,473,305,77.29,1.18,0.42,6.3,0,9,5.81
35001003714,Bernalillo,Montgomery Louisiana,47,7500,4993,333,692,228,0,869,385,66.57,4.44,9.23,3.04,0,11.59,5.13
35001003715,Bernalillo,Paseo Ventura,33,3919,3356,59,10,180,0,286,28,85.63,1.51,0.26,4.59,0,7.3,0.71
35001003717,Bernalillo,Montgomery Moon,40,5327,4087,35,293,324,0,485,103,76.72,0.66,5.5,6.08,0,9.1,1.93
35001003718,Bernalillo,Montgomery Moon,12,2527,1703,60,53,372,0,249,90,67.39,2.37,2.1,14.72,0,9.85,3.56
35001003719,Bernalillo,Academy Tramway,74,5795,3989,302,249,231,0,934,90,68.84,5.21,4.3,3.99,0,16.12,1.55
35001003721,Bernalillo,Academy Tramway,19,6812,5679,242,31,385,0,236,239,83.37,3.55,0.46,5.65,0,3.46,3.51
35001003722,Bernalillo,Paseo Louisiana,45,6430,4697,19,6,765,0,508,435,73.05,0.3,0.09,11.9,0,7.9,6.77
35001003723,Bernalillo,Paseo Louisiana,31,5760,4383,197,308,216,0,446,210,76.09,3.42,5.35,3.75,0,7.74,3.65
35001003724,Bernalillo,Paseo Louisiana,13,3181,2681,43,35,87,2,252,81,84.28,1.35,1.1,2.73,0.06,7.92,2.55
35001003725,Bernalillo,Paseo Louisiana,21,4096,3443,63,153,0,0,256,181,84.06,1.54,3.74,0,0,6.25,4.42
35001003726,Bernalillo,Academy Tramway,8,2603,2254,0,0,147,0,126,76,86.59,0,0,5.65,0,4.84,2.92
35001003728,Bernalillo,Academy Tramway,35,4192,3260,45,235,86,0,242,324,77.77,1.07,5.61,2.05,0,5.77,7.73
35001003729,Bernalillo,Academy Tramway,8,2190,1895,18,52,135,0,66,24,86.53,0.82,2.37,6.16,0,3.01,1.1
35001003730,Bernalillo,Paseo Ventura,26,4630,3595,110,0,474,0,255,196,77.65,2.38,0,10.24,0,5.51,4.23
35001003731,Bernalillo,Paseo Ventura,48,3892,3420,0,135,170,0,109,58,87.87,0,3.47,4.37,0,2.8,1.49
35001003732,Bernalillo,Paseo Ventura,45,6871,5150,220,15,1044,0,100,342,74.95,3.2,0.22,15.19,0,1.46,4.98
35001003733,Bernalillo,Comanche Carlysle,36,3613,1795,562,369,26,0,721,140,49.68,15.55,10.21,0.72,0,19.96,3.87
35001003735,Bernalillo,Alameda Edith,43,6785,4873,221,233,314,0,913,231,71.82,3.26,3.43,4.63,0,13.46,3.4
35001003736,Bernalillo,,83,2178,1195,60,143,97,0,488,195,54.87,2.75,6.57,4.45,0,22.41,8.95
35001003737,Bernalillo,Academy Tramway,9,2785,2182,0,59,264,0,204,76,78.35,0,2.12,9.48,0,7.32,2.73
35001003738,Bernalillo,Academy Tramway,14,4868,3699,54,438,122,0,324,231,75.99,1.11,9,2.51,0,6.66,4.75
35001003803,Bernalillo,East Mountain,6,3384,3297,0,51,0,0,19,17,97.43,0,1.51,0,0,0.56,0.5
35001003804,Bernalillo,East Mountain,9,5873,5229,0,66,248,0,13,317,89.03,0,1.12,4.22,0,0.22,5.4
35001003805,Bernalillo,East Mountain,3,2406,1841,7,0,0,0,258,300,76.52,0.29,0,0,0,10.72,12.47
35001003806,Bernalillo,East Mountain,9,3496,3298,19,75,28,0,18,58,94.34,0.54,2.15,0.8,0,0.51,1.66
35001003807,Bernalillo,East Mountain,16,4573,4072,13,140,99,0,89,160,89.04,0.28,3.06,2.16,0,1.95,3.5
35001004001,Bernalillo,Rio Bravo Second,47,5304,4235,59,53,20,0,881,56,79.85,1.11,1,0.38,0,16.61,1.06
35001004300,Bernalillo,Arenal Tapia,46,5604,3919,163,113,0,0,1228,181,69.93,2.91,2.02,0,0,21.91,3.23
35001004401,Bernalillo,Arenal Tapia,37,3450,3011,46,34,0,0,323,36,87.28,1.33,0.99,0,0,9.36,1.04
35001004402,Bernalillo,Arenal Tapia,60,4070,3028,0,94,89,37,739,83,74.4,0,2.31,2.19,0.91,18.16,2.04
35001004501,Bernalillo,Arenal Tapia,32,3322,2737,0,0,0,0,571,14,82.39,0,0,0,0,17.19,0.42
35001004502,Bernalillo,Arenal Tapia,30,4152,2718,50,381,8,23,837,135,65.46,1.2,9.18,0.19,0.55,20.16,3.25
35001004602,Bernalillo,Isleta Gun Club,40,4154,3218,60,113,31,0,558,174,77.47,1.44,2.72,0.75,0,13.43,4.19
35001004603,Bernalillo,,74,4130,3175,93,280,12,0,488,82,76.88,2.25,6.78,0.29,0,11.82,1.99
35001004604,Bernalillo,Isleta Gun Club,47,5597,4352,66,73,68,0,902,136,77.76,1.18,1.3,1.21,0,16.12,2.43
35001004712,Bernalillo,So. Ninetyeight,81,6633,4760,96,287,18,0,1281,191,71.76,1.45,4.33,0.27,0,19.31,2.88
35001004713,Bernalillo,Chavez OneEighteenth,101,6666,5169,247,177,6,0,793,274,77.54,3.71,2.66,0.09,0,11.9,4.11
35001004715,Bernalillo,Chavez OneEighteenth,52,4985,3565,52,62,0,0,1155,151,71.51,1.04,1.24,0,0,23.17,3.03
35001004716,Bernalillo,Alameda Coors,9,1968,1422,29,162,41,0,254,60,72.26,1.47,8.23,2.08,0,12.91,3.05
35001004717,Bernalillo,Alameda Coors,41,7987,5587,341,693,199,0,943,224,69.95,4.27,8.68,2.49,0,11.81,2.8
35001004720,Bernalillo,Irving Unser,17,3733,3128,79,25,158,0,175,168,83.79,2.12,0.67,4.23,0,4.69,4.5
35001004722,Bernalillo,Del Norte,28,4814,3595,39,642,178,0,222,138,74.68,0.81,13.34,3.7,0,4.61,2.87
35001004723,Bernalillo,Del Norte,46,6869,5773,141,16,344,0,293,302,84.04,2.05,0.23,5.01,0,4.27,4.4
35001004724,Bernalillo,Del Norte,14,3203,2672,44,64,105,0,132,186,83.42,1.37,2,3.28,0,4.12,5.81
35001004725,Bernalillo,Del Norte,17,4260,3931,0,51,6,0,130,142,92.28,0,1.2,0.14,0,3.05,3.33
35001004726,Bernalillo,Montano Coors,10,2324,1840,130,55,0,0,200,99,79.17,5.59,2.37,0,0,8.61,4.26
35001004727,Bernalillo,Montano Coors,12,1844,1569,86,19,22,0,132,16,85.09,4.66,1.03,1.19,0,7.16,0.87
35001004728,Bernalillo,Montano Coors,20,5423,4396,102,59,165,29,411,261,81.06,1.88,1.09,3.04,0.53,7.58,4.81
35001004729,Bernalillo,Montano Coors,22,3789,2930,319,138,58,0,141,203,77.33,8.42,3.64,1.53,0,3.72,5.36
35001004733,Bernalillo,Arenal Unser,75,7459,5214,40,240,0,0,1894,71,69.9,0.54,3.22,0,0,25.39,0.95
35001004734,Bernalillo,Arenal Unser,121,7548,5422,26,205,53,0,1789,53,71.83,0.34,2.72,0.7,0,23.7,0.7
35001004735,Bernalillo,,45,2167,1412,48,35,7,0,648,17,65.16,2.22,1.62,0.32,0,29.9,0.78
35001004736,Bernalillo,Chavez OneEighteenth,28,1529,873,0,111,0,0,545,0,57.1,0,7.26,0,0,35.64,0
35001004737,Bernalillo,Chavez OneEighteenth,91,7285,5208,389,259,23,25,917,464,71.49,5.34,3.56,0.32,0.34,12.59,6.37
35001004738,Bernalillo,,105,6132,3873,508,188,64,0,1085,414,63.16,8.28,3.07,1.04,0,17.69,6.75
35001004739,Bernalillo,So. Ninetyeight,111,7013,5112,87,256,159,0,1194,205,72.89,1.24,3.65,2.27,0,17.03,2.92
35001004740,Bernalillo,So. Ninetyeight,81,7113,4451,102,513,0,68,1605,374,62.58,1.43,7.21,0,0.96,22.56,5.26
35001004741,Bernalillo,So. Ninetyeight,97,7695,5293,245,508,53,0,1220,376,68.78,3.18,6.6,0.69,0,15.85,4.89
35001004742,Bernalillo,No. Ninetyeight,43,6181,4602,98,278,88,0,733,382,74.45,1.59,4.5,1.42,0,11.86,6.18
35001004743,Bernalillo,No. Ninetyeight,34,4172,3059,111,213,309,0,327,153,73.32,2.66,5.11,7.41,0,7.84,3.67
35001004744,Bernalillo,No. Ninetyeight,45,5819,4513,295,157,313,0,276,265,77.56,5.07,2.7,5.38,0,4.74,4.55
35001004745,Bernalillo,Alameda Coors,46,6436,5456,108,148,114,7,465,138,84.77,1.68,2.3,1.77,0.11,7.22,2.14
35001004746,Bernalillo,Alameda Coors,45,8590,5955,582,314,129,38,1211,361,69.32,6.78,3.66,1.5,0.44,14.1,4.2
35001004747,Bernalillo,Irving Unser,20,5372,4277,48,156,59,0,617,215,79.62,0.89,2.9,1.1,0,11.49,4
35001004748,Bernalillo,Irving Unser,53,10784,9237,133,194,140,0,647,433,85.65,1.23,1.8,1.3,0,6,4.02
35001004749,Bernalillo,No. Ninetyeight,32,4438,3036,392,286,25,0,514,185,68.41,8.83,6.44,0.56,0,11.58,4.17
35001004750,Bernalillo,No. Ninetyeight,46,6026,4228,359,280,0,0,728,431,70.16,5.96,4.65,0,0,12.08,7.15
35001004751,Bernalillo,Irving Unser,26,3672,2802,127,127,83,0,383,150,76.31,3.46,3.46,2.26,0,10.43,4.08
35001004752,Bernalillo,Irving Unser,19,3943,3091,75,102,226,0,291,158,78.39,1.9,2.59,5.73,0,7.38,4.01
35001004753,Bernalillo,Irving Unser,30,3996,3183,129,143,52,0,325,164,79.65,3.23,3.58,1.3,0,8.13,4.1
35001940500,Bernalillo,Paseo Ventura,10,3123,2683,141,104,51,0,89,55,85.91,4.51,3.33,1.63,0,2.85,1.76
35001940600,Bernalillo,Southwest,120,11788,6327,655,2222,693,0,1457,434,53.67,5.56,18.85,5.88,0,12.36,3.68
35001940700,Bernalillo,Southwest,17,2704,149,0,2353,27,0,60,115,5.51,0,87.02,1,0,2.22,4.25
